date,currency_code,name,local_price,dollar_ex,dollar_price
2007-01-01,HKD,Hong Kong,12,7.79845,1.5387673191467535
2007-01-01,HUF,Hungary,590,194.4237,3.034609463763934
2007-01-01,IDR,Indonesia,15900,9090,1.7491749174917492
2007-01-01,JPY,Japan,280,121.585,2.3029156557141097
2007-01-01,KRW,South Korea,2900,940.15,3.0846141573153223
2007-01-01,LKR,Sri Lanka,190,102.955,1.8454664659317177
2007-01-01,MXN,Mexico,29,10.8894,2.663140301577681
2007-01-01,MYR,Malaysia,5.5,3.502,1.5705311250713878
2007-01-01,NOK,Norway,41.5,6.1023,6.80071448470249
2007-01-01,NZD,New Zealand,4.6,1.42796,3.221378750105045
2007-01-01,PKR,Pakistan,140,60.055,2.331196403296978
2007-01-01,PEN,Peru,9.5,3.1895,2.9785232795108953
2007-01-01,PHP,Philippines,85,49.05,1.7329255861365953
2007-01-01,PLN,Poland,6.9,2.97175,2.3218642214183562
2007-01-01,RUB,Russia,49,26.5335,1.8467220683287164
2007-01-01,SAR,Saudi Arabia,9,3.749,2.40064017071219
2007-01-01,SGD,Singapore,3.6,1.53795,2.340778308787672
2007-01-01,SEK,Sweden,32,7.04125,4.54464761228475
2007-01-01,THB,Thailand,62,35.3,1.756373937677054
2007-01-01,TRY,Turkey,4.55,1.40975,3.227522610391913
2007-01-01,TWD,Taiwan,75,32.9255,2.2778697362226845
2007-01-01,UAH,Ukraine,9,5.05,1.7821782178217822
2007-01-01,UYU,Uruguay,55,23.925,2.2988505747126435
2007-01-01,USD,United States,2.89,1,2.89
2007-01-01,VEF,Venezuela,6800,4125.278,1.6483737580836975
2007-01-01,ZAR,South Africa,15.5,7.10975,2.1801047856816345
2007-06-01,AED,UAE,10,3.67285,2.7226812965408334
2007-06-01,ARS,Argentina,8.25,3.0915,2.668607472100922
2007-06-01,AUD,Australia,3.45,1.17,2.948717948717949
2007-06-01,BRL,Brazil,6.9,1.913,3.6069001568217463
2007-06-01,CAD,Canada,3.88,1.05345,3.68313636147895
2007-06-01,CHF,Switzerland,6.3,1.2112,5.201453104359313
2007-06-01,CLP,Chile,1565,526.75,2.971048884670147
2007-06-01,CNY,China,11,7.6047,1.4464738911462647
2007-06-01,COP,Colombia,6900,1956,3.5276073619631902
2007-06-01,CRC,Costa Rica,1130,518.625,2.1788382742829597
2007-06-01,CZK,Czech Republic,52.9,21.11675,2.5051203428557898
2007-06-01,DKK,Denmark,27.75,5.4603,5.0821383440470305
2007-06-01,EGP,Egypt,9.54,5.69025,1.6765519968366942
2007-06-01,EUR,Euro area,3.057482443,0.733756466,4.166889948742203
2007-06-01,GBP,Britain,1.99,0.496610632,4.007163503499055
2007-06-01,HKD,Hong Kong,12,7.81555,1.535400579613719
2007-06-01,HUF,Hungary,600,180.2106,3.3294378910008624
2007-06-01,IDR,Indonesia,15900,9015,1.7637271214642263
2007-06-01,JPY,Japan,280,122.315,2.289171401708703
2007-06-01,KRW,South Korea,2900,922.5,3.143631436314363
2007-06-01,LKR,Sri Lanka,210,111.4,1.8850987432675044
2007-06-01,MXN,Mexico,29,10.76755,2.6932774865220037
2007-06-01,MYR,Malaysia,5.5,3.4345,1.6013975833454652
2007-06-01,NOK,Norway,40,5.8139,6.880063296582328
2007-06-01,NZD,New Zealand,4.6,1.2797,3.594592482613112
2007-06-01,PKR,Pakistan,140,60.37,2.3190326321020374
2007-06-01,PEN,Peru,9.5,3.167,2.9996842437638147
2007-06-01,PHP,Philippines,85,45.8975,1.8519527207364235
2007-06-01,PLN,Poland,6.9,2.75185,2.507404109962389
2007-06-01,RUB,Russia,52,25.64825,2.0274287719435047
2007-06-01,SAR,Saudi Arabia,9,3.75045,2.3997120345558534
2007-06-01,SGD,Singapore,3.95,1.52375,2.592288761279738
2007-06-01,SEK,Sweden,33,6.79165,4.858907629221176
2007-06-01,THB,Thailand,62,34.455,1.7994485560876508
2007-06-01,TRY,Turkey,4.75,1.2981,3.6591942069178027
2007-06-01,TWD,Taiwan,75,32.7705,2.28864374971392
2007-06-01,UAH,Ukraine,9.25,5.0275,1.8398806563898558
2007-06-01,UYU,Uruguay,62,23.945,2.589267070369597
2007-06-01,USD,United States,3,1,3.0
2007-06-01,VEF,Venezuela,7400,2147.3,3.446188236389885
